Corpus,Number of keys,Total bytes,Min key,Avg key,Max key,Build stdlib,Read stdlib,Delete stdlib,Read after delete stdlib,Build compact nc,Build compact,Read compact,Delete compact,Read after delete compact,Speedup build nc,Speedup build,Speedup read,Speadup delete,Speedup read after delete,Read Checksum,Read Checksum after delete
Arabic,463,4223,2,9.1209503239740819,26,282161.26750000002,266846.96649999998,25982.4938,251971.11499999999,44130.014150000003,37598.3321,33078.459300000002,3796.3750749999999,33273.6777,6.3938630642836527,7.5046219270987278,8.0670917614352113,6.844027074959131,7.5726860514730543,True,True
Chinese,10,4647,441,464.69999999999999,480,16025.14772063509,18314.451569610952,2830.3437250000002,16485.900081009782,6502.6824200000001,8495.0055049999992,4019.8425699999998,802.64647549999995,3991.0950549999998,2.4643903370318809,1.8864199335954508,4.5560121449261013,3.5262644406889945,4.1306708694788989,True,True
English,999,4289,1,4.293293293293293,13,516880.22249999997,502126.95250000001,39695.287499999999,410971.52649999998,77203.731549999997,73065.018899999995,65741.021649999995,8142.0887400000001,67550.941399999996,6.6950160584563099,7.0742501717193145,7.6379548096055485,4.8753199292691569,6.0838756349293455,True,True
French,471,2977,2,6.3205944798301488,19,341206.46399999998,246948.72200000001,21297.802361912833,242384.2065,43061.94915,37721.114300000001,33534.9614,3896.972655,33558.7333,7.9236186641588642,9.045503303172568,7.3639184806099109,5.4652172974800699,7.2226863968074753,True,True
Georgien,381,5982,6,15.700787401574804,42,259902.92249999999,224538.21063674512,21832.607244233364,213897.87081594602,39817.638099999996,34050.844400000002,28084.701550000002,3465.9476549999999,27987.880349999999,6.5273314767507511,7.6327893501519153,7.995036380820828,6.2991739684058681,7.6425176948402251,True,True
German,999,5644,2,5.6496496496496498,18,507176.1605,500103.71399999998,41164.0988,435041.69650000002,76674.384300000005,72348.200349999999,64904.020049999999,7966.6006150000003,66604.793550000002,6.6146753590559975,7.0102111461850631,7.7052810228817243,5.1670845306960329,6.5316874854272422,True,True
Greek,452,4693,3,10.382743362831858,28,268406.69199999998,256531.18599999999,27333.841799999998,244574.5575,43754.644950000002,37785.7929,31911.987150000001,3830.38267,32000.785650000002,6.1343588162289509,7.1033759357739994,8.0387092409568108,7.1360603247507921,7.642767279996451,True,True
Hebrew,376,3346,2,8.8989361702127656,25,220431.24414348463,192329.32168501677,16003.335905794691,180609.85216659011,34367.662700000001,30125.461050000002,25570.2399,3110.0909099999999,26677.436600000001,6.4139143260238232,7.3171077374593274,7.5216080270336745,5.1456167581270762,6.7701351848246967,True,True
Japanese,10,4992,378,499.19999999999999,558,18134.214944105184,18792.600778070293,2486.7059549999999,16540.184582894799,7786.0123899999999,8632.5784600000006,4200.9365500000004,872.44017699999995,4230.3348150000002,2.3290760450620329,2.1006718940502034,4.4734312347731828,2.8502882152342695,3.9098996429895587,True,True
l33t,487,2317,2,4.7577002053388089,14,284474.48849999998,267964.25300000003,33560.018600000003,268617.7745,42140.019650000002,37495.18535,32642.908800000001,3984.9862750000002,32958.36505,6.750696626692247,7.5869604549107805,8.2089575607918857,8.4216146014204298,8.1502154033578194,True,True
S3,161,3582,8,22.248447204968944,43,109559.598,99783.478099999993,8019.4958800000004,96937.528099999996,19218.501141948658,16048.145968523408,12074.652835913561,1462.8362449864971,12026.096542032623,5.7007358269403117,6.8269317972860257,8.2638796705785733,5.4821555778952042,8.0605978640859863,True,True
Words,104335,880750,1,8.4416393505472804,23,82684071.5,55425389.399999999,4880371.8799999999,54811311.600000001,10383361.395,9020746.9649999999,8160072.2599999998,1036582.8945000001,8245112.3300000001,7.9631314325451168,9.1659894486354219,6.7922669841651633,4.7081346855082611,6.6477337610753935,True,True

