Corpus,Number of keys,Total bytes,Min key,Avg key,Max key,Build stdlib,Read stdlib,Delete stdlib,Read after delete stdlib,Build compact nc,Build compact,Read compact,Delete compact,Read after delete compact,Speedup build nc,Speedup build,Speedup read,Speadup delete,Speedup read after delete,Read Checksum,Read Checksum after delete
Arabic,463,4223,2,9.1209503239740819,26,235932.5,223595.52401746725,22670.877683403218,218722.66157622033,37214.300000000003,34868.900000000001,28109.849999999999,3218.5900000000001,31558.549999999999,6.3398344184896658,6.7662730972299094,7.9543478182013514,7.0437296093641057,6.9306942675192724,True,True
Chinese,10,4647,441,464.69999999999999,480,15724.874561912206,18064.8962184507,4231.6149999999998,19025.38622655475,5201.1899999999996,7042.125,3814.7350000000001,638.20950000000005,3478.0749999999998,3.0233224631117506,2.2329729395476798,4.7355573109143103,6.6304481522133409,5.4700908481141877,True,True
English,999,4289,1,4.293293293293293,13,427551.5,420086.5,23105.549999999999,286848.5,62043.0,53854.050000000003,49204.099999999999,5579.9350000000004,48462.550000000003,6.8912125461373561,7.9390779337858524,8.5376320265994092,4.1408278053418179,5.9189724849394016,True,True
French,471,2977,2,6.3205944798301488,19,283979.5,241187.0,12612.260450748878,191136.0681114551,39083.949999999997,27904.549999999999,25878.400000000001,2977.4000000000001,30242.049999999999,7.2658853570327464,10.176817042381979,9.3200120563867941,4.2359980018636652,6.3202087196950973,True,True
Georgien,381,5982,6,15.700787401574804,42,244965.5,197522.29097255276,15711.83870835553,182804.96546900953,36506.699999999997,29836.299999999999,26632.0,2996.605,25659.75,6.7101518351425895,8.2103176332185956,7.4167276574253815,5.2432131389874632,7.124191212658328,True,True
German,999,5644,2,5.6496496496496498,18,460852.5,419771.5,23377.549999999999,344666.5,61785.449999999997,60368.050000000003,47545.400000000001,5651.8900000000003,52190.25,7.4589162982546862,7.6340464865106634,8.8288562090128586,4.1362358432312023,6.6040400266333261,True,True
Greek,452,4693,3,10.382743362831858,28,244522.5,221500.94654286487,24229.25,214683.0,38830.349999999999,31879.25,30672.950000000001,3340.5599999999999,28890.849999999999,6.2972005145459669,7.6702714147917552,7.2213773550592588,7.253050386761501,7.4308301763361069,True,True
Hebrew,376,3346,2,8.8989361702127656,25,233578.5,168860.83752093802,12954.055595892542,151668.27673329864,29366.349999999999,23654.950000000001,21462.204182949532,2668.6300000000001,21630.732621223018,7.9539506952685644,9.874402609179052,7.867823643905508,4.8541969459582415,7.0117031812639183,True,True
Hindi,450,8280,9,18.399999999999999,51,279719.5,261702.0,16873.475787181891,210054.84571925251,48077.199999999997,36368.800000000003,34604.75,3576.3200000000002,31252.849999999999,5.8181320875591753,7.6911941004377375,7.5626033998222786,4.7181112951810498,6.7211420948570302,True,True
Japanese,10,4992,378,499.19999999999999,558,16569.322489095444,20352.976730129947,4614.2399999999998,24709.549999999999,6137.2650000000003,8562.8150000000005,3843.0749999999998,697.17399999999998,3811.1550000000002,2.6997893180586869,1.935032169805776,5.2960134085673447,6.6184912231379833,6.4834807295950965,True,True
l33t,487,2317,2,4.7577002053388089,14,276193.0,237513.5,24396.650000000001,243392.5,34135.050000000003,29055.049999999999,27157.200000000001,2879.3049999999998,26537.799999999999,8.0911848671673265,9.5058518226607784,8.7458758634910811,8.4731037524680453,9.1715402181039885,True,True
Russian,999,10636,2,10.646646646646646,37,604495.0,475855.5,39374.800000000003,414928.0,84918.649999999994,73036.600000000006,61565.75,7363.0749999999998,64405.650000000001,7.1185187235077345,8.2766037849516554,7.7292244470342686,5.3476027339121224,6.4424161544833405,True,True
S3,161,3582,8,22.248447204968944,43,95685.949999999997,86654.449999999997,7334.6599999999999,79889.0,29397.849999999999,15670.69554658157,12936.078249315638,1437.7824488910567,12447.492445545658,3.2548621752951323,6.1060435840624239,6.6986646439452624,5.1013698252173887,6.4180798140261839,True,True
Words,235977,2257909,1,9.5683840729565723,28,159431769.23076922,114977950.0,10390735.0,111888000.0,21706760.683760684,17649079.207920793,14882849.056603774,2961165.0,15481181.25,7.3447978513921583,9.0334326993794267,7.7255335697288627,3.5090023690000387,7.2273554706944614,True,True

