Corpus,Number of keys,Total bytes,Min key,Avg key,Max key,Build stdlib,Read stdlib,Delete stdlib,Read after delete stdlib,Build compact nc,Build compact,Read compact,Delete compact,Read after delete compact,Speedup build nc,Speedup build,Speedup read,Speadup delete,Speedup read after delete,Read Checksum,Read Checksum after delete
Arabic,463,4223,2,9.1209503239740819,26,77512.350000000006,61041.650000000001,6077.0900000000001,60665.75,36217.150000000001,35177.099999999999,29045.450000000001,3385.3800000000001,36741.949999999997,2.1402111982858947,2.2034889175059913,2.1015907827215625,1.7950983346035012,1.6511303836622715,True,True
Chinese,10,4647,441,464.69999999999999,480,5740.8000000000002,8005.4849999999997,1132.5329999999999,7623.1450000000004,5382.9949999999999,5126.1850000000004,4430.7849999999999,869.87894017913936,4922.875,1.0664695025724527,1.1198971554869752,1.8067870591780013,1.3019432333501151,1.5485148414290431,True,True
English,999,4289,1,4.293293293293293,13,121901.95,105672.3,12042.870000000001,103702.10000000001,65044.800000000003,50951.150000000001,48228.25,6271.0649999999996,58321.449999999997,1.874122912208201,2.3925259783145227,2.1910871740110829,1.9203867285700278,1.7781125126347168,True,True
French,471,2977,2,6.3205944798301488,19,81442.050000000003,54487.150000000001,5469.7650000000003,52006.400000000001,34522.300000000003,27519.099999999999,30547.400000000001,3276.1149999999998,29836.650000000001,2.3591142536852989,2.9594736019709944,1.7836919017657797,1.6695888270100407,1.7430375058862171,True,True
Georgien,381,5982,6,15.700787401574804,42,63962.949999999997,52573.150000000001,5155.1049999999996,52648.5,36022.5,28743.5,31056.650000000001,3157.625,29115.849999999999,1.7756388368380871,2.2253013724842137,1.6928145823841272,1.6325893670084317,1.8082419026063121,True,True
German,999,5644,2,5.6496496496496498,18,124514.95,103500.25,12231.155000000001,104708.25,66339.25,53060.900000000001,52700.650000000001,5990.3900000000003,62306.199999999997,1.8769423832798831,2.3466422544660945,1.9639273898898779,2.0417961101030153,1.6805430278206663,True,True
Greek,452,4693,3,10.382743362831858,28,72400.350000000006,54366.199999999997,6382.6350000000002,58440.0,38861.449999999997,31355.0,34619.099999999999,3638.8899999999999,32193.349999999999,1.8630377919506353,2.3090527826502951,1.570410553711679,1.7540060293111359,1.8152817274374988,True,True
Hebrew,376,3346,2,8.8989361702127656,25,63110.25,47014.050000000003,4731.3149999999996,43050.599999999999,30170.349999999999,23344.54666629382,22286.694296287751,2655.5349999999999,23653.25,2.0917970789201981,2.7034258108392466,2.1095120422516427,1.7816805276526197,1.8200712375677761,True,True
Hindi,450,8280,9,18.399999999999999,51,72564.25,59076.199999999997,5954.8900000000003,59433.400000000001,43256.699999999997,35778.050000000003,32692.049999999999,3832.1550000000002,37412.449999999997,1.6775262560481961,2.0281778911930637,1.807050949695721,1.5539272289351556,1.5885995170057026,True,True
Japanese,10,4992,378,499.19999999999999,558,6018.9499999999998,7916.6400000000003,1192.5155,7461.915,5876.1800000000003,4899.4099999999999,4751.3050000000003,956.60199999999998,4724.46,1.0242963966386325,1.2285050648955689,1.6662032852026971,1.2466161475723447,1.5794217751870054,True,True
l33t,487,2317,2,4.7577002053388089,14,67924.800000000003,53437.599999999999,6322.6049999999996,54617.75,35199.150000000001,28267.950000000001,26417.549999999999,3097.415,30473.0,1.9297284167373356,2.4028909064859674,2.0228068083527808,2.0412521408981359,1.7923325566895283,True,True
Russian,999,10636,2,10.646646646646646,37,155766.14978969176,118214.14999999999,13390.757523271017,119861.84210526316,81256.649999999994,70636.649999999994,67257.149999999994,7817.6949999999997,71723.449999999997,1.9169649473574382,2.2051746478590331,1.7576443545407441,1.7128779676453247,1.6711667119367957,True,True
S3,161,3582,8,22.248447204968944,43,27222.849999999999,20800.466086722419,2110.5573605021605,24579.299999999999,18197.410576168797,13987.306483529275,13269.252762453505,1511.4813406196954,13797.569452179918,1.4959738302355423,1.9462539147230535,1.5675687590773106,1.3963502583742444,1.7814224516272787,True,True
Words,235977,2257909,1,9.5683840729565723,28,65289550.0,32252450.0,5270680.0,35955200.0,22515927.927927926,19531765.151515152,16623086.330935251,2298315.0,18200452.05479452,2.899705053639706,3.3427367927847138,1.940220327195125,2.2932800769259218,1.9755113714622474,True,True

